MUSEUM,CATALOGUE,TL,WC,TLE,AMBN,BD,BL,DN,BW,SEX,LOCALITY,STATE/DEPARMENT,MUNICIPIO,COUNTRY,LATITUDE N,LONGITUDE W,COLLECTOR,COLLECTIO DATE,LINEAGE,ALTITUDE
ANSP,64070,11.78,50.027,28.667,2.517,4.153,6.73,1.75,5.917,M,Gualan,Gualan,,Guatemala,15.11914,-89.35589,"s.n. rhoads, e. l. poole",13/02/15,affinis,
ANSP,64071,13.063,51.21,28.333,2.327,3.903,6.627,2.167,6.097,M,Gualan,Gualan,,Guatemala,15.11914,-89.35589,"s.n. rhoads, e. l. poole",11/02/15,affinis,
ANSP,64072,13.527,52.95,27.933,2.737,4.273,6.623,1.883,5.973,M,Gualan,Gualan,,Guatemala,15.11914,-89.35589,"s.n. rhoads, e. l. poole",25/02/15,affinis,
ANSP,64073,12.693,49.81,27.667,2.28,3.803,6.423,1.823,5.803,M,Gualan,Gualan,,Guatemala,15.11914,-89.35589,"s.n. rhoads, e. l. poole",11/02/15,affinis,
MCZ,22843,NA,53.313,26,NA,4.3,7.083,NA,5.56,M,Bolson,Guanacaste,,Costa Rica,10.33333333,-85.46666667,"Underwood, C. F.",,affinis,
MCZ,121964,13.047,54.647,30,3.02,4.777,7.493,2.183,5.673,M,Tenorio,Guanacaste,,Costa Rica,10.61666667,-85.08333333,"Underwood, C. F.",,affinis,
MCZ,121965,13.707,54.267,26.667,2.877,4.243,7.173,2.067,5.91,F,Tenorio,Guanacaste,,Costa Rica,10.61666667,-85.08333333,"Underwood, C. F.",,affinis,
MCZ,121966,13.743,52.6,27,2.95,4.58,7.243,1.893,6.27,M,Tenorio,Guanacaste,,Costa Rica,10.61666667,-85.08333333,"Underwood, C. F.",,affinis,
MCZ,121967,13.063,53.993,30.167,2.577,4.323,6.963,1.64,5.843,M,Tenorio,Guanacaste,,Costa Rica,10.61666667,-85.08333333,"Underwood, C. F.",,affinis,
MCZ,121968,12.897,55.02,29.667,2.755,4.367,6.84,2.037,5.91,M,Bolson,Guanacaste,,Costa Rica,10.33333333,-85.46666667,"Underwood, C. F.",,affinis,
MCZ,121969,12.77,50.817,25.667,3.015,4.28,6.63,NA,6.437,M,Bolson,Guanacaste,,Costa Rica,10.33333333,-85.46666667,"Underwood, C. F.",,affinis,
MCZ,121971,12.8,52.43,27,2.543,4.1,6.333,1.893,6.39,M,Bolson,Guanacaste,,Costa Rica,10.33333333,-85.46666667,"Underwood, C. F.",,affinis,
MCZ,121972,12.76,54.717,28,2.963,4.677,6.55,2.027,5.757,M,Bolson,Guanacaste,,Costa Rica,10.33333333,-85.46666667,"Underwood, C. F.",,affinis,
MCZ,121973,13.273,52.8,27.833,3.17,4.517,6.217,2.133,6.357,M,Bolson,Guanacaste,,Costa Rica,10.33333333,-85.46666667,"Underwood, C. F.",,affinis,
MCZ,121974,13.027,52.25,25.667,2.915,4.657,6.643,NA,5.53,M,Bolson,Guanacaste,,Costa Rica,10.33333333,-85.46666667,"Underwood, C. F.",,affinis,
MCZ,121975,11.51,55.34,26.667,3.123,4.78,6.763,1.617,5.567,M,Bolson,Guanacaste,,Costa Rica,10.33333333,-85.46666667,"Underwood, C. F.",,affinis,
MCZ,121977,12.367,54.673,27.333,3.053,4.58,6.563,1.8,5.97,M,Bolson,Guanacaste,,Costa Rica,10.33333333,-85.46666667,"Underwood, C. F.",,affinis,
DMNH,46655,12.907,52.333,28.667,2.567,4.203,6.73,2.063,6.28,F,Costa Rica Guanacaste: Tenorio; Hacienda Tenorio,Guanacaste,,Costa Rica,"10,421,426","-85,097,730","Slud, P.",05/02/53,affinis,
CNAIB,P028519,NA,45.167,25,2.227,3.87,5.903,1.75,5.777,F,"Reserva de la Sierra Gorda, El Pantanal, Orilla del Río Sta. María m 676",Guanajuato,Xichú,México,21.45516,-99.84319,Marco Antonio Gurrola,17/12/08,affinis,
CNAIB,29164,11.613,50.333,28.667,2.6,4.19,6.297,1.83,5.733,M,"Reserva de la Sierra Gorda, El Pantanal, Orilla del Río Sta. María m 676",Guanajuato,Xichú,México,21.45516,-99.84319,Marco Antonio Gurrola,04/01/10,affinis,
CNAIB,29172,11.373,53.167,29,2.42,3.943,6.067,1.54,5.737,M,"Reserva de la Sierra Gorda, El Pantanal, Orilla del Río Sta. María m 676",Guanajuato,Xichú,México,21.45516,-99.84319,Marco Antonio Gurrola,04/01/10,affinis,
DMNH,33842,13.723,52,30,2.713,4.2,6.297,1.723,6.063,M, Acahuizotla,Guerrero,Chilpancingo,México,17.3625171,-99.4672966,"Romero H., Sostenes",17/03/64,godmani,
DMNH,33843,12.63,52,29,2.64,4.133,6.527,1.9,6.077,M, El Arenal al E de Acapulco; costa E de Laguna de Tres Palos,Guerrero,Acapulco,México,16.8008333,-99.7169444,"Romero H., Sostenes",01/05/71,godmani,
DMNH,33844,12.87,51.667,28.667,2.35,4.067,6.437,1.75,5.857,M,S de Amatlán; S de Tierra Colorada,Guerrero,Acapulco,México,17.1674377,-99.5836446,"Romero H., Sostenes",22/10/68,godmani,
DMNH,33873,12.587,49.333,27.667,2.327,3.817,6.733,1.503,5.433,F,Mexico Guerrero: Acahuizotla,Guerrero,Chilpancingo,México,17.3625171,-99.4672966,"Romero H., Sostenes",07/06/67,godmani,
DMNH,33874,13.823,50.667,22.333,2.197,3.323,6.117,1.44,5.513,F,Mexico Guerrero: Acahuizotla,Guerrero,Chilpancingo,México,17.3625171,-99.4672966,"Romero H., Sostenes",25/04/70,godmani,
DMNH,33875,12.58,51.5,27.333,2.607,4.113,6.703,1.317,5.957,F,Mexico Guerrero: Acahuizotla,Guerrero,Chilpancingo,México,17.3625171,-99.4672966,"Romero H., Sostenes",20/08/68,godmani,
DMNH,33877,13.093,53.333,29.333,2.3,3.667,6.383,1.43,5.587,F,Mexico Guerrero: Acahuizotla,Guerrero,Chilpancingo,México,17.3625171,-99.4672966,"Romero H., Sostenes",01/03/71,godmani,
